epoch,method,batch_size,learning_rate,train_loss,test_accuracy,epoch_time
43,static,128,0.00625,0.0038976277113516827,93.35,11.5630362033844
44,static,128,0.00625,0.0031770939212927875,93.44,11.478169918060303
45,static,128,0.00625,0.002699541216934604,93.46,11.42110824584961
46,static,128,0.00625,0.0023924477119395917,93.35,11.587661981582642
47,static,128,0.00625,0.0023516463910116317,93.43,11.48356318473816
48,static,128,0.00625,0.0021665843923750925,93.43,11.435251951217651
49,static,128,0.00625,0.002066910834307832,93.3,11.434235334396362
50,static,128,0.00625,0.0020482593293198502,93.44,11.480658292770386
51,static,128,0.00625,0.0020090894370740934,93.43,11.48285961151123
52,static,128,0.00625,0.0019279786725409393,93.46,11.469728469848633
53,static,128,0.00625,0.0018721472012496658,93.44,11.356369972229004
54,static,128,0.00625,0.001978984129290456,93.43,11.435415267944336
55,static,128,0.00625,0.0019246001314840464,93.51,11.51695966720581
56,static,128,0.00625,0.0019058054730073729,93.38,11.43327021598816
57,static,128,0.00625,0.0019220278406245654,93.41,11.446167707443237
58,static,128,0.00625,0.0018632142476415806,93.51,11.340798616409302
59,static,128,0.00625,0.0019073483844680875,93.54,11.624433517456055
60,static,128,0.00625,0.0019222705712867603,93.58,11.481661319732666
61,static,128,0.0015625,0.0017882281614503245,93.56,11.515732526779175
62,static,128,0.0015625,0.0018253274623608426,93.45,11.563077211380005
63,static,128,0.0015625,0.0018402868277405196,93.5,11.57594108581543
64,static,128,0.0015625,0.0017587147357224274,93.49,11.415670156478882
65,static,128,0.0015625,0.0018441226918683219,93.43,11.572530746459961
66,static,128,0.0015625,0.0018423008018864323,93.5,11.562514543533325
67,static,128,0.0015625,0.0018115146569649516,93.5,11.546730756759644
68,static,128,0.0015625,0.0018001092892727935,93.5,11.504064321517944
69,static,128,0.0015625,0.0018202321706160998,93.42,11.577697277069092
70,static,128,0.0015625,0.0017822015816335883,93.49,11.523173570632935
71,static,128,0.0015625,0.001816100026267384,93.41,11.401189804077148
72,static,128,0.0015625,0.0018033423784451048,93.51,11.349258422851562
73,static,128,0.0015625,0.0017956371047049523,93.54,11.446905851364136
74,static,128,0.0015625,0.001827536577131472,93.43,11.455654859542847
75,static,128,0.0015625,0.0018359793254287481,93.49,11.424913883209229
76,static,128,0.0015625,0.0018270423415917229,93.46,11.460086584091187
77,static,128,0.0015625,0.0018391263248500173,93.46,11.415227174758911
78,static,128,0.0015625,0.0018244045813863815,93.46,11.491172313690186
79,static,128,0.0015625,0.0019124031088241476,93.47,11.460885763168335
80,static,128,0.0015625,0.0018278754102552671,93.38,11.445422172546387
81,static,128,0.000390625,0.0018006591995093804,93.55,11.593921899795532
82,static,128,0.000390625,0.0017915479035855435,93.45,11.535971641540527
83,static,128,0.000390625,0.0018275070399083673,93.41,11.472430229187012
84,static,128,0.000390625,0.0018279569171148655,93.48,11.518683671951294
85,static,128,0.000390625,0.0018271235988658071,93.46,11.470659732818604
86,static,128,0.000390625,0.001803510491478084,93.47,11.540260314941406
87,static,128,0.000390625,0.0018109047873767772,93.49,11.48300290107727
88,static,128,0.000390625,0.0018012029100715843,93.51,11.455590724945068
89,static,128,0.000390625,0.0018019592437867338,93.5,11.554222822189331
90,static,128,0.000390625,0.0018276415497455786,93.45,11.554899215698242
91,static,128,0.000390625,0.0018245146680833783,93.44,11.540108919143677
92,static,128,0.000390625,0.0017877694006874236,93.54,11.531115055084229
93,static,128,0.000390625,0.001877103754600236,93.31,11.517999649047852
94,static,128,0.000390625,0.0017950155043493965,93.36,11.503514766693115
95,static,128,0.000390625,0.0018171003661247521,93.46,11.514214515686035
96,static,128,0.000390625,0.0018133067133486954,93.5,11.52869987487793
97,static,128,0.000390625,0.0017716238494348852,93.4,11.488342046737671
98,static,128,0.000390625,0.0017778389896802318,93.45,11.408750534057617
99,static,128,0.000390625,0.0018047120506271546,93.46,11.495325088500977
100,static,128,0.000390625,0.0018229401652524466,93.45,11.45341157913208
1,adabatch,128,0,0.49592594614923635,86.38,11.517645597457886
2,adabatch,128,0,0.2848099479352487,87.85,11.55718445777893
3,adabatch,128,0,0.2457197264059266,90.01,11.538644790649414
4,adabatch,128,0,0.22436471931588675,91.37,11.454192638397217
5,adabatch,128,0,0.2147281131605858,91.11,11.442399263381958
6,adabatch,128,0,0.20891840962458774,90.26,11.543239831924438
7,adabatch,128,0,0.20045698651754018,90.67,11.531603574752808
8,adabatch,128,0,0.195539919043909,90.76,11.495054483413696
9,adabatch,128,0,0.18884313057289956,86.41,11.476927280426025
10,adabatch,128,0,0.19246668195419475,90.0,11.501816749572754
11,adabatch,128,0,0.18584747201026375,90.31,11.542764663696289
12,adabatch,128,0,0.18094621646378847,89.84,11.495757102966309
13,adabatch,128,0,0.17683203691549138,90.09,11.457245349884033
14,adabatch,128,0,0.17761647984035997,91.52,11.549896478652954
15,adabatch,128,0,0.17601157534224138,91.56,11.554444074630737
16,adabatch,128,0,0.17353571612221091,90.9,11.579241514205933
17,adabatch,128,0,0.1696516333787299,91.43,11.50556206703186
18,adabatch,128,0,0.1693771309626382,89.39,11.493227243423462
19,adabatch,128,0,0.16977961563161695,90.62,11.490469455718994
20,adabatch,128,0,0.16652933745654916,92.12,11.522391557693481
21,adabatch,256,0,0.09891660118356664,93.72,10.932594060897827
22,adabatch,256,0,0.06646650940813917,93.42,11.078131914138794
23,adabatch,256,0,0.055515331711540834,93.31,11.097848653793335
24,adabatch,256,0,0.047758789828166046,92.75,11.073380470275879
25,adabatch,256,0,0.04771249924409897,92.33,11.05947232246399
26,adabatch,256,0,0.05458230914429147,92.29,11.101258277893066
27,adabatch,256,0,0.05386276294259315,92.39,11.098536968231201
28,adabatch,256,0,0.053435282242741994,91.71,11.04526424407959
29,adabatch,256,0,0.04801676074399593,92.08,11.07337498664856
30,adabatch,256,0,0.04888459115110813,90.68,11.069918870925903
31,adabatch,256,0,0.04944643375087292,92.17,11.188281297683716
32,adabatch,256,0,0.05104028542149574,91.63,11.062506437301636
33,adabatch,256,0,0.05398949226562647,90.58,11.062798976898193
34,adabatch,256,0,0.04620668656648474,91.78,11.099405288696289
35,adabatch,256,0,0.048299692190707996,92.21,11.078061580657959
36,adabatch,256,0,0.046664370731153385,92.0,11.117644548416138
37,adabatch,256,0,0.044069407055986685,91.66,11.088873624801636
38,adabatch,256,0,0.0498916126391355,92.0,11.106059312820435
39,adabatch,256,0,0.050259364182327654,92.64,11.109079837799072
40,adabatch,256,0,0.045662575587630275,91.24,11.067600727081299
41,adabatch,512,0,0.01579739122209534,93.22,10.843484878540039
42,adabatch,512,0,0.004797798451194066,93.36,10.866086483001709
43,adabatch,512,0,0.003123627883832018,93.43,10.82595682144165
44,adabatch,512,0,0.002604788108097421,93.53,10.853673934936523
45,adabatch,512,0,0.0023060354889544135,93.41,10.863786220550537
46,adabatch,512,0,0.002156854884391177,93.43,10.828639507293701
47,adabatch,512,0,0.0020271766323091116,93.4,10.853098154067993
48,adabatch,512,0,0.001978673210556982,93.39,10.902228832244873
49,adabatch,512,0,0.0019176913705512377,93.39,10.836759090423584
