epoch,method,batch_size,learning_rate,train_loss,test_error,epoch_time
1,small_static,128,0.1,0.5042642651717546,17.89,11.30911922454834
2,small_static,128,0.1,0.3038866763938465,11.420000000000002,11.196125745773315
3,small_static,128,0.1,0.25845849120032305,11.659999999999997,11.245708465576172
4,small_static,128,0.1,0.2366421020774445,9.25,11.322386026382446
5,small_static,128,0.1,0.22406440619021845,10.180000000000007,11.418805122375488
6,small_static,128,0.1,0.2147269969397008,9.709999999999994,11.292718410491943
7,small_static,128,0.1,0.2063019871711731,10.340000000000003,11.26934289932251
8,small_static,128,0.1,0.20067328759538594,8.760000000000005,11.290881872177124
9,small_static,128,0.1,0.19723330324551444,8.75,11.364903450012207
10,small_static,128,0.1,0.1933679372262853,9.280000000000001,11.318041563034058
11,small_static,128,0.1,0.18831766984546616,8.620000000000005,11.315580129623413
12,small_static,128,0.1,0.1854862308959717,9.579999999999998,11.357686042785645
13,small_static,128,0.1,0.18195638605462972,8.599999999999994,11.3015296459198
14,small_static,128,0.1,0.1804646614835715,8.709999999999994,11.344305038452148
15,small_static,128,0.1,0.1767695728522628,9.310000000000002,11.339325189590454
16,small_static,128,0.1,0.1765782086690987,9.780000000000001,11.354343891143799
17,small_static,128,0.1,0.174790040707029,9.939999999999998,11.296074628829956
18,small_static,128,0.1,0.17102786999489708,9.329999999999998,11.79348111152649
19,small_static,128,0.1,0.16744288316032271,9.730000000000004,11.314273357391357
20,small_static,128,0.1,0.1661948612503914,12.010000000000005,11.887520790100098
21,small_static,128,0.025,0.0985269565274244,6.760000000000005,11.955246210098267
22,small_static,128,0.025,0.0709013670667021,7.140000000000001,11.663047790527344
23,small_static,128,0.025,0.05771673242571448,7.359999999999999,11.941015481948853
24,small_static,128,0.025,0.052345518110149196,7.1299999999999955,12.326210975646973
25,small_static,128,0.025,0.054295861096715116,9.260000000000005,11.975788831710815
26,small_static,128,0.025,0.052212743223634867,7.75,12.01363468170166
27,small_static,128,0.025,0.05483653041909435,7.480000000000004,12.191540718078613
28,small_static,128,0.025,0.05489458492808123,7.810000000000002,12.39366340637207
29,small_static,128,0.025,0.055616597728386744,8.450000000000003,12.44255781173706
30,small_static,128,0.025,0.052973462508987386,9.5,12.388362646102905
31,small_static,128,0.025,0.056311613993286325,9.430000000000007,12.401658058166504
32,small_static,128,0.025,0.051131494404839425,8.420000000000002,12.390383958816528
33,small_static,128,0.025,0.05304904066439249,7.540000000000006,12.326856136322021
34,small_static,128,0.025,0.0519686400918151,8.670000000000002,11.936180591583252
35,small_static,128,0.025,0.04961257288331734,8.299999999999997,11.956187963485718
36,small_static,128,0.025,0.04913163060711613,8.230000000000004,12.05440068244934
37,small_static,128,0.025,0.046750914621184754,8.379999999999995,11.910269975662231
38,small_static,128,0.025,0.049771718607385405,8.909999999999997,11.89349627494812
39,small_static,128,0.025,0.05053583579832938,8.760000000000005,11.913458585739136
40,small_static,128,0.025,0.045052900591662635,8.540000000000006,11.888463735580444
