epoch,method,batch_size,learning_rate,train_loss,test_accuracy,epoch_time
1,small_static,128,0.1,0.5061676114924681,80.21,13.54702091217041
2,small_static,128,0.1,0.2987967127803038,89.33,12.792354583740234
3,small_static,128,0.1,0.2580195518095356,89.8,12.5656156539917
4,small_static,128,0.1,0.24076729760304696,87.73,12.567716836929321
5,small_static,128,0.1,0.22335868903886535,87.93,12.584036350250244
6,small_static,128,0.1,0.21446882043756657,91.02,12.570187330245972
7,small_static,128,0.1,0.21067330585931665,89.96,12.588742733001709
8,small_static,128,0.1,0.20118555823750078,90.61,12.407304763793945
9,small_static,128,0.1,0.19783759337943246,89.91,12.609615087509155
10,small_static,128,0.1,0.19749330551321828,91.7,12.576441526412964
11,small_static,128,0.1,0.18818489234966002,90.3,12.573662519454956
12,small_static,128,0.1,0.18795731424618123,90.24,12.638362884521484
13,small_static,128,0.1,0.18614776668422767,90.66,12.617978572845459
14,small_static,128,0.1,0.18096852972944663,91.29,12.62003207206726
15,small_static,128,0.1,0.18060386095887054,90.35,12.594651460647583
16,small_static,128,0.1,0.17526568707499676,91.7,12.635499238967896
17,small_static,128,0.1,0.17736170728450645,90.79,12.53716492652893
18,small_static,128,0.1,0.17488748175121827,91.94,12.573813915252686
19,small_static,128,0.1,0.1709737430439829,89.91,12.620823621749878
20,small_static,128,0.1,0.17018713203193284,90.6,12.580143451690674
21,small_static,128,0.025,0.10194453519624053,93.27,12.554399967193604
22,small_static,128,0.025,0.07234472913075803,93.16,12.687681674957275
23,small_static,128,0.025,0.06050730311571916,93.2,12.665226697921753
24,small_static,128,0.025,0.05820595896614195,92.64,12.623321771621704
25,small_static,128,0.025,0.05632473996627941,92.64,12.583787441253662
26,small_static,128,0.025,0.05574962411965452,91.48,12.599394798278809
27,small_static,128,0.025,0.0553639080625639,92.61,12.53916335105896
28,small_static,128,0.025,0.05519911608517742,92.27,12.61694622039795
29,small_static,128,0.025,0.05532386799904901,91.5,12.62110161781311
30,small_static,128,0.025,0.054059711805205225,91.29,12.574262142181396
31,small_static,128,0.025,0.05352473991321348,91.88,12.715826749801636
